SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,FANTASY_PTS,PLAYER_NAME
22025,1628983,0022500568,"Jan 13, 2026",OKC vs. SAS,W,34,11,23,0.478,1,4,0.25,11,13,0.846,0,5,5,5,0,4,2,2,34,29,1,57.5,Shai Gilgeous-Alexander
22025,1628983,0022500553,"Jan 11, 2026",OKC vs. MIA,W,32,10,19,0.526,2,6,0.333,7,9,0.778,1,4,5,8,1,1,3,4,29,8,1,50.0,Shai Gilgeous-Alexander
22025,1628983,0022500525,"Jan 07, 2026",OKC vs. UTA,W,42,14,26,0.538,1,8,0.125,17,19,0.895,0,6,6,6,1,1,0,1,46,9,1,68.2,Shai Gilgeous-Alexander
22025,1628983,0022500506,"Jan 05, 2026",OKC vs. CHA,L,30,7,21,0.333,1,6,0.167,6,6,1.0,0,2,2,6,0,1,2,2,21,-20,1,33.4,Shai Gilgeous-Alexander
22025,1628983,0022500499,"Jan 04, 2026",OKC @ PHX,L,36,8,22,0.364,1,5,0.2,8,9,0.889,0,0,0,6,0,0,3,3,25,-5,1,31.0,Shai Gilgeous-Alexander
22025,1628983,0022500484,"Jan 02, 2026",OKC @ GSW,W,28,10,20,0.5,3,5,0.6,7,7,1.0,0,1,1,7,0,0,3,1,30,26,1,38.7,Shai Gilgeous-Alexander
22025,1628983,0022500470,"Dec 31, 2025",OKC vs. POR,W,29,11,15,0.733,1,2,0.5,7,7,1.0,0,2,2,6,4,0,0,3,30,22,1,53.4,Shai Gilgeous-Alexander
22025,1628983,0022500455,"Dec 29, 2025",OKC vs. ATL,W,36,15,24,0.625,2,5,0.4,7,7,1.0,1,5,6,6,2,0,3,1,39,16,1,58.2,Shai Gilgeous-Alexander
22025,1628983,0022500442,"Dec 28, 2025",OKC vs. PHI,W,29,10,13,0.769,0,2,0.0,7,9,0.778,0,2,2,5,2,0,1,0,27,19,1,41.9,Shai Gilgeous-Alexander
22025,1628983,0022500010,"Dec 25, 2025",OKC vs. SAS,L,36,7,19,0.368,1,6,0.167,7,8,0.875,1,5,6,4,1,0,0,2,22,-15,1,38.2,Shai Gilgeous-Alexander
22025,1628983,0022500417,"Dec 23, 2025",OKC @ SAS,L,35,14,22,0.636,1,4,0.25,4,5,0.8,1,2,3,8,0,0,2,2,33,-17,1,46.6,Shai Gilgeous-Alexander
